message,subquestion_focus,subquestion_type,answer
my sister had hellp during her first pregancey and is viewed to to at high risk for it again i was wondering what the risk of having hellp during my pregancey was,HELLP,Susceptibility,Who gets HELLP syndrome? Doctors don’t know exactly what causes HELLP syndrome. They also can’t predict who will get it. Any pregnant woman may get this illness.  Most women who will get HELLP have blood pressure problems before they get HELLP syndrome. (But you can get HELLP syndrome even if your blood pressure is normal.)  You're more likely to get HELLP syndrome if you're white and older than 25 years of age. You are also more likely to get it if you have had children before or if you had a problem with a pregnancy in the past.
two friends of ours have an 8yearold child with oppositional defiant disorder and autism and they are being told by facility that they need to institutionalize him there our friends are heartbroken are there any excellent places in the country that specialize in odd in combination with autism that might offer other options for them thanks for any counsel you might have,Oppositional Defiant Disorder/autism,Organization,"The Importance of Support Families often need help in understanding their child’s disability and how to address the needs that arise from the disability. Help is available from psychiatrists, psychologists, and other mental health professionals that work in the public or private sector. There is also a network of mental health support operating in every state as well as locally.  To locate systems of support in your community or state, visit the organizations we’ve listed below. They can connect you with local resources, including support groups that provide connection and understanding, information, referral, and advocacy for those living with emotional disturbance."
my fatherinlaw died recently after his small intestine died was apparently in good health and ate dinner on saturday and had to be rushed to the hospital on sunday early on tuesday they operated on him after his blood pressure dropped they removed 7080 of his small intestine and part of his large intestine dead is this reasonable that they would find this of his intestine dead again appeared to be ok the day before,intestine dead,Information,Small intestinal ischemia and infarction Intestinal ischemia and infarction is damage to (ischemia) or death of (infarction) part of the intestine. It is due to a decrease in the blood supply to the area.
i was wondering i get my ears cleaned out because of allot of wax build up but i constantly have this itch in both of them and sometimes they burn little and they pain touch in the day i dont notice it as much as in the evening and at night sometimes i think i even feel draining in them but nothing drains out if i take some clartin it does help but i hate doing clartin everyday what do you think i need to do ents dont do much for it or seem to think its problem i also get little rining in the ears at night some high pitch sound not to bothersome but there and they did check my hearing and said it was fine so i wonder what it could be something i am taking supplement wise or allergies or what is there some kind of test that would tell what this is and how to overcome this nuisance thanks so much for any help,ears itch burn and have soreness/ringing,Diagnosis,"Allergies can cause a variety of symptoms such as a runny nose, sneezing, itching, rashes, swelling, or asthma. Allergies can range from minor to severe. Anaphylaxis is a severe reaction that can be life-threatening. Doctors use skin and blood tests to diagnose allergies. Treatments include medicines, allergy shots, and avoiding the substances that cause the reactions."
i am having symptoms of shingles rash or blisters is it too late to get the vaccine i have had the chicken pox and take acylovir on as needed basis for blisters i get on my buttocks,shingles,Treatment,"The shingles vaccine (Zostavax) is recommended for adults age 60 and older, whether they've already had shingles or not. Although the vaccine is approved for people age 50 and older, the Centers for Disease Control and Prevention isn't recommending it until you reach age 60."
i have very huge breast i am only 25 and they cause alot of pain on the neck chest and back what can i do,huge breast,Treatment,"Why the Procedure is Performed Breast reduction may be recommended if you have very large breasts (macromastia) and:  Chronic pain that affects your quality of life. You may be having headaches, neck pain, and shoulder pain. Chronic nerve problems caused by poor posture, which result in numbness or tingling in your arms or hands. Cosmetic problems, such as persistent bra-strap groove, scar-like lines in the skin (striae), difficulty finding clothes that fit, and low self-confidence. Chronic rashes under your breasts Unwelcome attention that is making you feel awkward Inability to participate in sports Some women may benefit from non-surgical treatments, such as:  Exercising to strengthen their back and shoulder muscles Losing excess weight Wearing supportive bras"
i can not locate any information on this condition causes symptoms treatment etc i have had it in the past and suspect that i have it again i would like to research this condition but internet search only comes up with cancer i realize that my case is not addressed in your reply i am simply seeking general information,esophageal candida,Information,"Candidiasis that develops in the mouth or throat is called ""thrush"" or oropharyngeal candidiasis. The most common symptom of oral thrush is white patches or plaques on the tongue and other oral mucous membranes. This infection is uncommon among healthy adults."
my mother is 55 years old she feels pains on one side of her leg she cant sit or work we went to doctors gave us medicine but its all the same what could this be,leg pain,Cause,"Causes  Leg pain can be due to a muscle cramp (also called a charley horse). Common causes of cramps include:      Dehydration or low amounts of potassium, sodium, calcium, or magnesium in the blood     Medicines (such as diuretics and statins)     Muscle fatigue or strain from overuse, too much exercise, or holding a muscle in the same position for a long time  An injury can also cause leg pain from:      A torn or overstretched muscle (strain)     Hairline crack in the bone (stress fracture)     Inflamed tendon (tendinitis)     Shin splints (pain in the front of the leg from overuse)   Other common causes of leg pain include:      Atherosclerosis that blocks blood flow in the arteries (this type of pain, called claudication, is generally felt when exercising or walking and is relieved by rest)     Blood clot (deep vein thrombosis) from long-term bed rest     Infection of the bone (osteomyelitis) or skin and soft tissue (cellulitis)     Inflammation of the leg joints caused by arthritis or gout     Nerve damage common in people with diabetes, smokers, and alcoholics     Varicose veins  Less common causes include:      Cancerous bone tumors (osteosarcoma, Ewing sarcoma)     Legg-Calve-Perthes disease -- poor blood flow to the hip that may stop or slow the normal growth of the leg     Noncancerous (benign) tumors or cysts of the femur or tibia (osteoid osteoma)     Sciatic nerve pain (radiating pain down the leg) caused by a slipped disk in the back     Slipped capital femoral epiphysis -- usually seen in boys and overweight children between ages 11 and 15   Home Care"
any way to relieve excess mucus,excess mucus/copd,Treatment,Techniques to Help Clear Mucus From Your Lungs Ask your health-care provider about different methods to help you cough up mucus. The Acapella™ and the Flutter® devices are two handheld devices that assist in clearing mucus from the lungs. Learning how to use these devices will make it easier to get rid of mucus in the lungs. HUFF Cough: Forced Expiratory Technique • Repeat this cycle two to four times. • Spit out the mucus as it comes up.
hello ive been struggling with an undiagnosed condition for some years im trying to find answers is there test that can show gene mutation or do you have to know the illness your testing for,undiagnosed condition,Diagnosis,"Would a genetics service or genetic counselors be helpful?  A consultation at a genetics service with a genetics professional can sometimes provide clues about a difficult to diagnose condition. This type of professional often has experience with rare conditions, and is trained to look for patterns in a family's medical history that offer clues for diagnosis. This type of professional can work as a part of your medical team to help determine a diagnosis and management strategy. If you think that it would be helpful to find a genetics clinic near you, we recommend contacting your primary doctor for a referral."
my is 33years of age and did not have the measles vaccinationcould sspe occur at this age or in the future,SSPE,Susceptibility,"Subacute sclerosing panencephalitis is a prototype neurodegenerative disease of childhood characterised by onset of neurological symptoms between 5 and 15 years of age with a progressive downhill course leading to death within 2–4 years.1 The incidence of adult onset SSPE has been reported to vary between 1–1.75% and 2.6%.11,12 To date less than 100 cases of adult onset SSPE have been published in the literature, the majority being case reports2,3,6,7,8,13,14 baring one exception.4 The present series of 39 patients constituted 12.7% of the cohort evaluated over a decade at our centre. To the best of our knowledge this is the largest series of adult onset SSPE patients. Most of our patients were from South India; whether a similar incidence of adult onset cases of SSPE is observed elsewhere in India is not known.  Tan et al4 reported eight cases of adult onset SSPE (⩾18 years) seen between 1980 and 1987 at a university hospital in Turkey. Age at onset was between 18 and 24 years, with a 1–9 month interval between first symptoms and diagnosis. In the published literature on adult onset SSPE, the age at onset was 20–35 years with a mean delay in diagnosis of 10.6 months.5 A similar time lag of 6.3±9.6 months in diagnosis was observed in the present study. In childhood onset SSPE, boys are more frequently affected,1 while in adults the gender distribution is reported to be equal.4,5 However, in our series there was a preponderance of males (25 males, 14 females) (table 2​2)."
in 1964 i began taking bendectin for morning sickness and with each subsequent pregnancy i continued to do so my third child developed meningioma of the brain at 11 years old and currently my daughter 47 years old been diagnosed with lesion of the brain i am justifiably concerned about my daughters condition and wonder if i contributed to her status i am only interested in helping her and not for any litigious reason if someone also had similar situation and was treated positively i would so appreciate knowing about it thank you and god bless,lesions of the brain,Treatment,"The case against Bendectin is unclear. The Food and Drug Administration admitted as much in 1980, after an intensive two-day review of available data. The review panel said no association between Bendectin and birth defects had been demonstrated. It added, however, that because there was no way to prove the absolute safety of any drug in all women under every circumstance, there must remain a ''residual uncertainty'' about how this drug affects an unborn child."
i need specialist for arachnoiditis in southern california,arachnoiditis,Organization,Arachnoiditis A-Z List of Top 1000 Cities
sir what is the difference between spondyloepiphyseal dysplasia and metatropic dysplasia and how can we differntiate prenatally,spondyloepiphyseal dysplasia/metatropic dysplasia,Diagnosis,"There has been significant progress in the identification of the molecular defects in these disorders. Molecular diagnosis can be used to confirm a clinical and radiographic diagnosis, predict carrier status in those families at risk for a recessive disorder, and allow for prenatal diagnosis of at-risk fetuses. Because these are rare disorders, commercial testing is not always readily available; however, GeneTests (www.genetests.org), a publically funded website, provides current information on these diseases and those laboratories providing clinical genetic testing and those who are interested in material for ongoing research."
my left buttocks painful sores nurse at my work said to put cortisol10 cream on it but its not helping she thinks i got this by being in dirty hottub i hope its not something bad please help,painful sores,Information,"Overview Hot tub rash (Pseudomonas folliculitis) is an infection of the hair follicle with Pseudomonas bacteria. It is most commonly seen in people who bathe in a contaminated spa, swimming pool, or hot tub.  Hot tub rash is usually resolved without treatment within 2 weeks. Who's At Risk Hot tub rash can occur in people of any age, of any race, and of either sex.  Individuals with hot tub rash usually have a history of one of the following:      Bathing in a contaminated spa, swimming pool, or hot tub     Using a contaminated loofah sponge     Wearing a contaminated diving suit"
kindly suggest the specialised doctor for treatment,varicose ulcer,Organization,Find an ACFAS Physician
what damage would putting ear drops peroxide in broken ear drum,perforated ear drum/drops,Complication,Be very careful. Hydrogen peroxide can damage you
what happens to someone who congestive heart failure and their kidneys are in stage 4 where can i find information on this,congestive heart failure,Prognosis,"ECENT FINDINGS:  Congestive heart failure is found in about one-quarter of cases of chronic kidney disease. The most common cause of congestive heart failure is ischemic heart disease. The prevalence of congestive heart failure increases greatly as the patient's renal function deteriorates, and, at end-stage renal disease, can reach 65-70%. There is mounting evidence that chronic kidney disease itself is a major contributor to severe cardiac damage and, conversely, that congestive heart failure is a major cause of progressive chronic kidney disease. Uncontrolled congestive heart failure is often associated with a rapid fall in renal function and adequate control of congestive heart failure can prevent this. The opposite is also true: treatment of chronic kidney disease can prevent congestive heart failure. There is new evidence showing the cardioprotective effect of carvedilol in patients on dialysis, and of simvastatin and eplerenone in patients with congestive heart failure. Use of non-steroidal anti-inflammatory drugs doubles the rate of hospitalization in patients with congestive heart failure. Anemia has been found in one-third to half the cases of congestive heart failure, and may be caused not only by chronic kidney disease but by the congestive heart failure itself. The anemia is associated with worsening cardiac and renal status and often with signs of malnutrition. Control of the anemia and aggressive use of the recommended medication for congestive heart failure may improve the cardiac function, patient function and exercise capacity, stabilize the renal function, reduce hospitalization and improve quality of life. Congestive heart failure, chronic kidney disease and anemia therefore appear to act together in a vicious circle in which each condition causes or exacerbates the other. Both congestive heart failure and anemia are often undertreated. Cooperation between nephrologists and other physicians in the treatment of patients with anemic congestive heart failure may improve the quality of care and the subsequent prognosis for both congestive heart failure and chronic kidney disease."
i want to know if botox is useful in treating someone who had stroke and their left arm is crippled up the man had cerebral hemmorhage i want to know if this helps or not,arm is crippled,Treatment,"OnabotulinumtoxinA injection is also sometimes used to treat other conditions in which abnormal muscle tightening causes pain, abnormal movements, or other symptoms. OnabotulinumtoxinA injection is also sometimes used to treat excessive sweating of the hands, excessive sweating that occurs during or after eating, many types of wrinkles of the face, tremor (uncontrollable shaking of a part of the body), and anal fissures (a split or tear in the tissue near the rectal area). The medication is also sometimes used to improve the ability to move in children with cerebral palsy (condition that causes difficulty with movement and balance) or adults who have had a stroke. Talk to your doctor about the risks of using this medication for your condition."
my five years old ganglisidose gm 1 we are looking for drug that could help him or at least could prolong life gets miglusitat for 1 week can you help us or just send some information we would be very grateful,Gangliosidosis GM1,Treatment,Is there any treatment?  No specific treatment exists for the gangliosidoses. Anticonvulsants may initially control seizures. Other supportive treatment includes proper nutrition and hydration and keeping the airway open.
yesterday i noticed large cluster of pinprick red spots underneath my chin not on my neck recently i have been self induced vomiting i know that petechiae can be caused by vomiting but would this cause it to be underneath the chin,Petechiae,Symptom,"Petechiae are common and may indicate a number of conditions, ranging from minor to very serious.  Tiny blood vessels (capillaries) link the smallest parts of your arteries to the smallest parts of your veins. Petechiae appear when capillaries bleed, leaking blood into the skin. A number of things can cause this bleeding, including:      Prolonged straining     Certain medical conditions     Specific types of injuries     Medications     Injuries and sunburn  See your doctor promptly if you or your child develops unexplained or widespread petechiae. It's important to determine the cause, since some underlying problems can be potentially serious."
can lasik surgery removerepair cataracts,cataracts/lasik,Treatment,"Your general health should be good. LASIK may not be recommended for patients with diabetes, rheumatoid arthritis, lupus, glaucoma, herpes infections of the eye, cataracts, disorders of the cornea, and retinal disease. Discuss your general health status with your surgeon."
i have runny nose and headache and have graves what is safe cold medicine to take over the counter,cold,Treatment,"An acute symptom is one that comes on suddenly. Acute problems, such as a headache, postnasal drip, or muscular pain due to exercise, often are not serious conditions, and may be treated with a properly chosen over-the-counter medication. Remember, however, that selfmedication may be challenging if a patient is taking prescription or nonprescription medication. Drug-with-drug interactions are a major reason for complications. When taking thyroid supplements, high-blood-pressure medications, etc., it is always best to consult your doctor or pharmacist before using any other medication. What seems like a simple and safe product for a headache might cause a significant and dangerous combination with some prescription medications. If acute symptoms continue, despite supportive therapies like proper over-thecounter medication, rest (where necessary) and time, a symptom becomes chronic. Chronic problems usually indicate the need for skilled diagnosis that a physician provides. Simply put, if a problem persists, do not continue to self medicate, see your doctor."
my daughter have distal renal tubular acidosis we are from méxico and we ae woundering if can send to us more infomation maybe you can reccommend to us association i don´t know,Distal renal tubular acidosis,Information,"Distal renal tubular acidosis is a disease that occurs when the kidneys do not properly remove acids from the blood into the urine. As a result, too much acid remains in the blood (called acidosis)."
my husband 89 been unable to urinate for 11 hours after his catheter was removed is it time to call the doctor,unable to urinate,Treatment,"After catheter removal  After your catheter is taken out:      You may have trouble urinating. If this happens, try sitting in a few inches of warm water (sitz bath). This may help you relax. If you feel the urge, it may be easier to urinate while you are still in the bath.     You may have some burning the first few times you urinate. If the burning lasts longer, it may be a sign of an infection.     Drink plenty of fluids, enough so that your urine is light yellow or clear like water. If you have kidney, heart, or liver disease and have to limit fluids, talk with your doctor before you increase the amount of fluids you drink.     Wear loose cotton underwear if you have irritation or a rash from your catheter.  Also, it is important to know when you are having a problem and when to call your doctor. After catheter removal, call your doctor if:      You do not urinate within 8 hours after the catheter is taken out."
help help help i have lichen planus and i think at times i might go crazy from the itching i had once before about 22 yrs ago and it went away after cycle or two of prednisone this time it been over 15yrs and keeps on it will not go away i can not take prednisone any more it makes mean i need some kind of help i use steroid creams and shots and they ease the lesions and the itching but after while it gets really bad again i at my wits end it is all over my feet ankles legs and wrists arms back and butt help please,Lichen Planus,Treatment,"Treatments Your Physician May Prescribe If lichen planus is suspected, your doctor may want to perform a skin biopsy. The procedure involves:      Numbing the skin with an injectable anesthetic.     Sampling a small piece of skin by using a flexible razor blade, a scalpel, or a tiny cookie cutter (called a ""punch biopsy""). If a punch biopsy is taken, a stitch (suture) or 2 may be placed and will need to be removed 6–14 days later.     Having the skin sample examined under the microscope by a specially trained physician (dermatopathologist).  In addition, your doctor may recommend one of the following treatments:      Topical corticosteroid (cortisone) cream, lotion, ointment, or gel     Topical tacrolimus or pimecrolimus     Anti-itch lotions containing menthol, pramoxine, or phenol     Corticosteroid (cortisone) injected directly into a thick lesion     Oral antihistamine pills such as diphenhydramine, loratadine, cetirizine, fexofenadine, desloratadine, or hydroxyzine for itching  In addition, your doctor may suggest one of the following treatments for oral lichen planus:      Topical corticosteroid (cortisone) ointment or gel     Topical cyclosporine solution used as a mouthwash  For very severe cases of lichen planus, one of the following therapies may be recommended:      Ultraviolet light treatment     Oral retinoid pills such as isotretinoin or acitretin     Oral cyclosporine pills     Oral hydroxychloroquine pills  Although there is no cure for lichen planus, treatment can usually minimize symptoms and improve the appearance of the rash until it heals."
my daughter is 12 years old and her height is 105 cm and weight is 15 kg i want to consult about her growth overall can you suggest some medicine or anything else,Short Height,Information,"Is something wrong? Maybe, maybe not. Some kids just grow more slowly than others because their parents did, too. But others may have an actual growth disorder, which is any type of problem that prevents kids from meeting realistic expectations of growth, from failure to gain height and weight in young children to short stature or delayed sexual development in teens. Variations of Normal Growth Patterns  A couple of differences seen in the growth patterns of normal children include these common conditions, which are not growth disorders:"
my thumb and forefinger hurt all the time nerves is there any medicine that will help,thumb and forefinger hurt,Treatment,"No matter how old you are or what you do for a living, you are always using your hands. When there is something wrong with them, you may not be able to do your regular activities.  Hand problems include      Carpal tunnel syndrome - compression of a nerve as it goes through the wrist, often making your fingers feel numb     Injuries that result in fractures, ruptured ligaments and dislocations     Osteoarthritis - wear-and-tear arthritis, which can also cause deformity     Tendinitis - irritation of the tendons     Disorders and injuries of your fingers and thumb"
i have undergone total hip replacement of both my hip jonts in 1977 charnley process my left joint is completely worn outhow safe and effective is revision surgerycan i get cementless jointi am 66 years oldan early repy to my query will be very much appreciated,Total Hip Replacement,Treatment,"When Is Revision Surgery Necessary?  Hip replacement is one of the most successful orthopaedic surgeries performed. However, because more people are having hip replacements at a younger age, and wearing away of the joint surface becomes a problem after 15 to 20 years, replacement of an artificial joint, which is also known as revision surgery, is becoming more common. It is more difficult than first-time hip replacement surgery, and the outcome is generally not as good, so it is important to explore all available options before having additional surgery.  Doctors consider revision surgery for two reasons: if medication and lifestyle changes do not relieve pain and disability, or if x rays of the hip show damage to the bone around the artificial hip that must be corrected before it is too late for a successful revision. This surgery is usually considered only when bone loss, wearing of the joint surfaces, or joint loosening shows up on an x ray. Other possible reasons for revision surgery include fracture, dislocation of the artificial parts, and infection."
my dad is being treated at university of washington school of medicine for infection cause by hole in his urine tract and i am interested in any treats for his problem,urine tract infection,Treatment,"Intraperitoneal Rupture: If the tear is on the top of the bladder, the hole will usually communicate with the abdominal cavity that holds all of the vital organs (liver, spleen and bowel). This injury should be surgically repaired. Urine that leaks into the abdomen is a serious problem. The repair is performed by making an abdominal incision and sewing the tear closed. A catheter is left in the bladder for up to 2 weeks to rest the bladder after the surgery, either through the urethra or coming directly out the abdominal wall, below the bellybutton.  Extraperitoneal Rupture: If the tear is at the bottom or sides of the bladder, the urine will not leak into the abdominal cavity but into the tissues around the bladder. Patients who have complex injuries of this type should have surgical repair of the injury but in some circumstances small injuries can be treated by simply placing a large diameter catheter into the bladder to keep it empty and allow the urine and blood to drain out into a collection bag. If the catheter does not drain properly, surgical repair is required. Allowing the bladder to repair itself in this fashion usually takes at least 10 days and the catheter is not removed until an X-ray is done as described above to prove the leak has sealed.  Penetrating Injuries: Patients who have injury to the bladder from a penetrating object are usually operated upon and the hole(s) is surgically repaired. Most of the time other organs in the area will be injured and need repair as well. A catheter is left in the bladder to drain the urine and blood as described above."
i have jock itch and i have read through your symptoms i wanted know if small lumps under the skin around the scrotum area is symptoms as well should i be concerned,Jock Itch,Symptom,"Signs and Symptoms Large round, red patches with bumpy, scaling edges occur in the groin and may extend down the inner thigh or onto the belly or buttocks areas. Jock itch is usually not present on the genitals. It is usually very itchy."
how long after tetanus vaccine administration does patient have immunity i have not been able to find this information on cdc site,Tetanus vaccine,Treatment,"Antibody levels do not rise until 4 days after vaccination (5), so vaccination at the time of injury is of no use. - See more at: http://www.vaccinationcouncil.org/2010/08/19/tetanus-toxoid-vaccination-an-overview/#sthash.6RfMXh39.dpuf"
my serum creatinine level is 11 i am 36 years old and having kidney stone my question is will the kidney stone affect the serum creatinine result,kidney stone/Serum Creatinine,Symptom,"What does the test result mean?  Creatinine Reference Range  Increased creatinine levels in the blood suggest diseases or conditions that affect kidney function. These can include:      Damage to or swelling of blood vessels in the kidneys (glomerulonephritis) caused by, for example, infection or autoimmune diseases     Bacterial infection of the kidneys (pyelonephritis)     Death of cells in the kidneys' small tubes (acute tubular necrosis) caused by, for example, drugs or toxins     Prostate disease, kidney stone, or other causes of urinary tract obstruction     Reduced blood flow to the kidney due to shock, dehydration, congestive heart failure, atherosclerosis, or complications of diabetes"
my wife been having shortness of breath in the mornings mornings only she what i think excessive heart rate as well again mornings only could this be anxiety attacks i dont think it would be heart issue she certainly isnt overweight she is 52 and 100105 pounds if she is having anxiety attack what is the best course of action she seems to feel better when she lies down and restswhile either watching tvor sleeps what is weird about it is it only happens in the mornings she history in her family for heart disease either what are your thoughts,shortness of breath,Cause,"Many conditions can make you feel short of breath. Lung conditions such as asthma, emphysema or pneumonia cause breathing difficulties. So can problems with your trachea or bronchi, which are part of your airway system. Heart disease can make you feel breathless if your heart cannot pump enough blood to supply oxygen to your body. Stress caused by anxiety can also make it hard for you to breathe. If you often have trouble breathing, it is important to find out the cause."
my father passed away february 2012 hospice helped our family with his passing and offered us counseling which at that time our family didnt use my brother is now interested in counseling services and im wondering if i can get some information on this thank you,Grief counseling,Information,Where can I find help?  The following list of organizations and Web sites  provides information and support for coping  with grief:
what is done for people who get air in but cant get it out,can't get air out,Treatment,"Many conditions can make you feel short of breath. Lung conditions such as asthma, emphysema or pneumonia cause breathing difficulties. So can problems with your trachea or bronchi, which are part of your airway system. Heart disease can make you feel breathless if your heart cannot pump enough blood to supply oxygen to your body. Stress caused by anxiety can also make it hard for you to breathe. If you often have trouble breathing, it is important to find out the cause."
i want to know about russel silver syndrome if i ask you my little nine month old but look like very little i dont know anything about this symptoms please send all information,RUSSEL SILVER SYNDROME,Information,"What is Russell-Silver syndrome?  Russell-Silver syndrome is a growth disorder characterized by slow growth before and after birth. Babies with this condition have a low birth weight and often fail to grow and gain weight at the expected rate (failure to thrive). Head growth is normal, however, so the head may appear unusually large compared to the rest of the body. Affected children are thin and have poor appetites, and some develop low blood sugar (hypoglycemia) as a result of feeding difficulties. Adults with Russell-Silver syndrome are short; the average height for affected males is about 151 centimeters (4 feet, 11 inches) and the average height for affected females is about 140 centimeters (4 feet, 7 inches).  Many children with Russell-Silver syndrome have a small, triangular face with distinctive facial features including a prominent forehead, a narrow chin, a small jaw, and down-turned corners of the mouth. Other features of this disorder can include an unusual curving of the fifth finger (clinodactyly), asymmetric or uneven growth of some parts of the body, and digestive system abnormalities. Russell-Silver syndrome is also associated with an increased risk of delayed development and learning disabilities."
are there any suggestions for help or coping with beginning forgetfulness age 84 healthy female looking for something to read about this problem and how to cope have not been diagnosed with any disease of the body or brain,forgetfulness,Treatment,"Keeping Your Memory Sharp  People with some forgetfulness can use a variety of techniques that may help them stay healthy and maintain their memory and mental skills. Here are some tips that can help:      Plan tasks, make ""to do"" lists, and use memory aids like notes and calendars. Some people find they remember things better if they mentally connect them to other meaningful things, such as a familiar name, song, book, or TV show.     Develop interests or hobbies and stay involved in activities that can help both the mind and body.     Engage in physical activity and exercise. Several studies have associated exercise (such as walking) with better brain function, although more research is needed to say for sure whether exercise can help to maintain brain function or prevent or delay symptoms of Alzheimer's.     Limit alcohol use. Although some studies suggest that moderate alcohol use has health benefits, heavy or binge drinking over time can cause memory loss and permanent brain damage.     Find activities, such as exercise or a hobby, to relieve feelings of stress, anxiety, or depression. If these feelings last for a long time, talk with your doctor."
hello can i have surgery if i have hyperthyroidism,hyperthyroidism,Treatment,"What is the treatment of hyperthyroidism?  The goal of treatment is to lower the amount of thyroid hormones. Treatment options include      Radioactive iodine (RAI). Also called radioiodine, RAI is a common and long-used treatment for hyperthyroidism.     Surgery. This removes the thyroid gland (called thyroidectomy).     Antithyroid drugs. These medicines are given for months or even years.  Sometimes people take them to prepare for RAI or surgery."
what if someone throw up blood just little got little light headed and just laid down and went to sleep they said they will sleep it off but i want to take they said im fine what should i do,throw up blood,Treatment,"Vomiting blood (hematemesis) refers to significant amounts of blood in your vomit. Small streaks or flecks of blood in material you spit up may come from the teeth, mouth or throat and isn't usually considered vomiting blood. Blood in vomit may be bright red, or it may appear black or dark brown like coffee grounds.  Swallowed blood, as from a nosebleed or forceful coughing, may cause bloody vomit, but truly vomiting blood usually represents something more serious and requires immediate medical attention. Bleeding in your upper gastrointestinal tract (mouth, esophagus, stomach and upper small intestine) from peptic ulcers or torn blood vessels is a common cause of vomiting blood.  Call 911 or your local emergency number if vomiting blood causes dizziness after standing, rapid, shallow breathing or other signs of shock. Call 911 or emergency medical assistance  Call 911 if vomiting blood causes signs and symptoms of shock, such as:      Rapid, shallow breathing     Dizziness or lightheadedness after standing up     Blurred vision     Fainting     Confusion     Nausea     Cold, clammy, pale skin     Low urine output  Seek immediate medical attention  Ask someone to drive you to urgent care or the emergency room if you notice blood in your vomit or begin vomiting blood. It's important to quickly identify the underlying cause of the bleeding and prevent more-severe blood loss and other complications, including death."
i have been dealing with an autoimmune disease for almost 4 years now ive been tested for many things and the doctors cant seem to find what exactly is wrong it began with pain swelling and stiffness in my feet and toesa lot of the pain is joint stiffness and my skin feels like its being burned over time it moved into my knees also i am always tired recently ive been getting pains in my stomache and feeling sick does any of this sound like lupus ive tested negative for it before but the more i read about it i feel thats what i could have any ideas would be greatly appreciated,Lupus,Symptom,"Lupus has many symptoms. Some common ones are      Joint pain or swelling     Muscle pain     Fever with no known cause     Fatigue     Red rashes, often on the face (also called the ""butterfly rash"")"
what is the pattern of recovery after stroke,stroke,Prognosis,"Outlook (Prognosis)  How well a person does after a stroke depends on:      The type of stroke     How much brain tissue is damaged     What body functions have been affected     How quickly treatment is given  Problems moving, thinking, and talking often improve in the weeks to months after a stroke.  Many people who have had a stroke will keep improving in the months or years after their stroke.  Over half of people who have a stroke are able to function and live at home. Others are not able to care for themselves.  If treatment with clot-busting drugs is successful, the symptoms of a stroke may go away. However, patients often do not get to the hospital soon enough to receive these drugs, or they cannot take these drugs because of a health condition.  People who have a stroke due to a blood clot (ischemic stroke) have a better chance of surviving than those who have a stroke due to bleeding in the brain (hemorrhagic stroke).  The risk for a second stroke is highest during the weeks or months after the first stroke. The risk begins to decrease after this period."
i have very bad diarrhea for last two months doctors have not found what causing it it reserve wateryi need to know what i can eat and is lactase milk and yogurt is ok are not,diarrhea,Treatment,"How is chronic diarrhea treated?  The treatment of chronic diarrhea is determined by its cause. Follow the advice of your health care provider.      Diarrhea caused by an infection sometimes can be treated with antibiotics or other drugs. However, the correct diagnosis must be made so that the proper medication can be prescribed.     Diarrhea not caused by an infection can be more difficult to diagnose and therefore treat. Long term medical treatment and nutritional support may be necessary. Surgery may be required to treat some causes of chronic diarrhea.  For diarrhea whose cause has not been determined, the following guidelines may help relieve symptoms. Follow the advice of your health care provider.      Remain well hydrated and avoid dehydration. Serious health problems can occur if the body does not maintain proper fluid levels. Diarrhea may become worse and hospitalization may be required if dehydration occurs.     Maintain a well-balanced diet. Doing so may help speed recovery.     Avoid beverages that contain caffeine, such as tea, coffee, and many soft drinks.     Avoid alcohol; it can lead to dehydration"
can macular degeneration in only one eye cause dizziness,dizziness/macular degeneration,Complication,"Unsteadiness Unsteadiness (disequilibrium) or loss of balance when standing or walking are often experienced along with vertigo and other types of dizziness. The causes include:      Inner ear problems.  These can cause sensations of floating or unsteadiness, especially in the dark.      Vision problems.  Cataracts, macular degeneration, glaucoma and weakening eyesight (reduced visual acuity) are risk factors for disequilibrium."
can arrhythmia occurs after ablation what is the success rate of ablation during my holter test it was found that my heart rate fluctuates from 254 to 21 how do you rate the situation,arrhythmia,Cause,"After the Procedure  Pressure to reduce bleeding is put on the area where the catheters were inserted into your body. You will be kept in bed for at least 1 hour, and maybe up to 5 or 6 hours. Your heart rhythm will be monitored during this time.  Your doctor will decide whether you can go home on the same day or if you will need to stay in the hospital overnight to continue monitoring your heart. You will need someone to drive you home after your procedure  For 2 or 3 days after your procedure, you may have these symptoms:      You may feel tired.     Your chest may feel achy.     You may notice skipped heartbeats, or times when your heartbeat is very fast or irregular.  Your doctor may keep you on your medicines, or give you new ones that help control your heart rhythm. Outlook (Prognosis)  Success rates are different depending on what type of heart rhythm problem is being treated."
nonpharmacological ways to relieve symptoms of menapause,symptoms of menopause,Treatment,"There are a variety of options available to help treat the symptoms of menopause. The National Institute on Aging provides detailed information on some treatments for menopause. In addition, the Department of Health and Human Service's Office on Women's Health also provides information about menopause treatments. The sections below provide some additional information."
